LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,0,1,0,0,0,Alpine,27/09/2021,28/09/2021
Ararat (RC),VIC220,11845,0,8,0,0,0,Ararat,27/09/2021,28/09/2021
Ballarat (C),VIC241,109505,15,81,13.7,0,1,Ballarat,27/09/2021,28/09/2021
Banyule (C),VIC188,131631,165,673,125.4,24,4,Banyule,27/09/2021,28/09/2021
Bass Coast (S),VIC173,36320,3,13,8.3,0,1,Bass Coast,27/09/2021,28/09/2021
Baw Baw (S),VIC194,53396,3,22,5.6,2,1,Baw Baw,27/09/2021,28/09/2021
Bayside (C),VIC182,106862,28,315,26.2,4,2,Bayside,27/09/2021,28/09/2021
Benalla (RC),VIC199,14037,0,4,0,0,0,Benalla,27/09/2021,28/09/2021
Boroondara (C),VIC201,183199,34,355,18.6,6,1,Boroondara,27/09/2021,28/09/2021
Brimbank (C),VIC189,209523,456,2673,217.6,54,5,Brimbank,27/09/2021,28/09/2021
Buloke (S),VIC183,6124,0,0,0,0,0,Buloke,27/09/2021,28/09/2021
Campaspe (S),VIC239,37622,0,11,0,0,0,Campaspe,27/09/2021,28/09/2021
Cardinia (S),VIC212,112159,122,350,108.8,11,4,Cardinia,27/09/2021,28/09/2021
Casey (C),VIC213,353872,275,1429,77.7,45,3,Casey,27/09/2021,28/09/2021
Central Goldfields (S),VIC169,13186,0,2,0,0,0,Central Goldfields,27/09/2021,28/09/2021
Colac-Otway (S),VIC224,21564,0,139,0,0,0,Colac-Otway,27/09/2021,28/09/2021
Corangamite (S),VIC231,16020,3,7,18.7,1,1,Corangamite,27/09/2021,28/09/2021
Darebin (C),VIC205,164184,296,1140,180.3,43,4,Darebin,27/09/2021,28/09/2021
East Gippsland (S),VIC243,47316,1,9,2.1,0,1,East Gippsland,27/09/2021,28/09/2021
Frankston (C),VIC227,142643,42,304,29.4,13,2,Frankston,27/09/2021,28/09/2021
Gannawarra (S),VIC214,10472,1,4,9.5,1,1,Gannawarra,27/09/2021,28/09/2021
Glen Eira (C),VIC177,156511,50,322,31.9,5,2,Glen Eira,27/09/2021,28/09/2021
Glenelg (S),VIC223,19674,0,19,0,0,0,Glenelg,27/09/2021,28/09/2021
Golden Plains (S),VIC230,23722,1,20,4.2,0,1,Golden Plains,27/09/2021,28/09/2021
Greater Bendigo (C),VIC193,118093,4,106,3.4,0,1,Greater Bendigo,27/09/2021,28/09/2021
Greater Dandenong (C),VIC247,168201,129,706,76.7,16,3,Greater Dandenong,27/09/2021,28/09/2021
Greater Geelong (C),VIC215,258934,28,427,10.8,2,1,Greater Geelong,27/09/2021,28/09/2021
Greater Shepparton (C),VIC93,66498,7,202,10.5,2,1,Greater Shepparton,27/09/2021,28/09/2021
Hepburn (S),VIC94,15975,0,5,0,0,0,Hepburn,27/09/2021,28/09/2021
Hindmarsh (S),VIC152,5588,0,0,0,0,0,Hindmarsh,27/09/2021,28/09/2021
Hobsons Bay (C),VIC235,97751,226,1124,231.2,8,5,Hobsons Bay,27/09/2021,28/09/2021
Horsham (RC),VIC153,19921,1,15,5,1,1,Horsham,27/09/2021,28/09/2021
Hume (C),VIC198,233471,3227,6237,1382.2,270,7,Hume,27/09/2021,28/09/2021
Indigo (S),VIC191,16701,2,3,12,0,1,Indigo,27/09/2021,28/09/2021
Kingston (C),VIC226,165782,51,374,30.8,5,2,Kingston,27/09/2021,28/09/2021
Knox (C),VIC209,164538,64,253,38.9,14,2,Knox,27/09/2021,28/09/2021
Latrobe (C),VIC219,75561,18,72,23.8,12,2,Latrobe,27/09/2021,28/09/2021
Loddon (S),VIC185,7504,0,5,0,0,0,Loddon,27/09/2021,28/09/2021
Macedon Ranges (S),VIC228,50231,19,81,37.8,1,2,Macedon Ranges,27/09/2021,28/09/2021
Manningham (C),VIC195,127573,83,270,65.1,8,3,Manningham,27/09/2021,28/09/2021
Mansfield (S),VIC244,9176,0,10,0,0,0,Mansfield,27/09/2021,28/09/2021
Maribyrnong (C),VIC234,93448,77,744,82.4,15,3,Maribyrnong,27/09/2021,28/09/2021
Maroondah (C),VIC207,118558,54,170,45.5,14,2,Maroondah,27/09/2021,28/09/2021
Melbourne (C),VIC132,178955,164,1207,91.6,24,3,Melbourne,27/09/2021,28/09/2021
Melton (C),VIC237,164895,385,1718,233.5,55,5,Melton,27/09/2021,28/09/2021
Mildura (RC),VIC222,55777,1,17,1.8,0,1,Mildura,27/09/2021,28/09/2021
Mitchell (S),VIC211,46082,62,163,134.5,5,4,Mitchell,27/09/2021,28/09/2021
Moira (S),VIC190,29925,0,10,0,0,0,Moira,27/09/2021,28/09/2021
Monash (C),VIC210,202847,56,448,27.6,8,2,Monash,27/09/2021,28/09/2021
Moonee Valley (C),VIC121,130294,238,1175,182.7,28,4,Moonee Valley,27/09/2021,28/09/2021
Moorabool (S),VIC236,35049,20,73,57.1,2,3,Moorabool,27/09/2021,28/09/2021
Moreland (C),VIC131,185767,801,2508,431.2,88,5,Moreland,27/09/2021,28/09/2021
Mornington Peninsula (S),VIC204,167636,25,221,14.9,7,1,Mornington Peninsula,27/09/2021,28/09/2021
Mount Alexander (S),VIC105,19754,4,13,20.2,0,2,Mount Alexander,27/09/2021,28/09/2021
Moyne (S),VIC229,16953,0,2,0,0,0,Moyne,27/09/2021,28/09/2021
Murrindindi (S),VIC250,14570,2,14,13.7,0,1,Murrindindi,27/09/2021,28/09/2021
Nillumbik (S),VIC216,65094,18,177,27.7,0,2,Nillumbik,27/09/2021,28/09/2021
Northern Grampians (S),VIC166,11402,0,4,0,0,0,Northern Grampians,27/09/2021,28/09/2021
Port Phillip (C),VIC208,115601,105,476,90.8,20,3,Port Phillip,27/09/2021,28/09/2021
Pyrenees (S),VIC217,7472,0,3,0,0,0,Pyrenees,27/09/2021,28/09/2021
Queenscliffe (B),VIC238,2940,0,1,0,0,0,Queenscliffe,27/09/2021,28/09/2021
South Gippsland (S),VIC178,29914,1,17,3.3,0,1,South Gippsland,27/09/2021,28/09/2021
Southern Grampians (S),VIC233,16100,0,2,0,0,0,Southern Grampians,27/09/2021,28/09/2021
Stonnington (C),VIC203,117768,46,342,39.1,3,2,Stonnington,27/09/2021,28/09/2021
Strathbogie (S),VIC110,10781,0,2,0,0,0,Strathbogie,27/09/2021,28/09/2021
Surf Coast (S),VIC225,33456,4,17,12,0,1,Surf Coast,27/09/2021,28/09/2021
Swan Hill (RC),VIC180,20649,0,6,0,0,0,Swan Hill,27/09/2021,28/09/2021
Towong (S),VIC187,6040,0,0,0,0,0,Towong,27/09/2021,28/09/2021
Wangaratta (RC),VIC186,29187,2,4,6.9,0,1,Wangaratta,27/09/2021,28/09/2021
Warrnambool (C),VIC179,35181,1,15,2.8,1,1,Warrnambool,27/09/2021,28/09/2021
Wellington (S),VIC218,44380,0,20,0,0,0,Wellington,27/09/2021,28/09/2021
West Wimmera (S),VIC232,3841,0,1,0,0,0,West Wimmera,27/09/2021,28/09/2021
Whitehorse (C),VIC196,178739,26,251,14.5,1,1,Whitehorse,27/09/2021,28/09/2021
Whittlesea (C),VIC197,230238,979,2479,425.2,125,5,Whittlesea,27/09/2021,28/09/2021
Wodonga (C),VIC192,42083,3,6,7.1,0,1,Wodonga,27/09/2021,28/09/2021
Wyndham (C),VIC221,270487,651,3440,240.7,51,5,Wyndham,27/09/2021,28/09/2021
Yarra (C),VIC202,101495,116,635,114.3,7,4,Yarra,27/09/2021,28/09/2021
Yarra Ranges (S),VIC206,159462,32,307,20.1,10,2,Yarra Ranges,27/09/2021,28/09/2021
Yarriambiack (S),VIC200,6639,0,1,0,0,0,Yarriambiack,27/09/2021,28/09/2021
